npc_id,shop_id,item_id,price,position
1001000,21,1332007,1000,104
1001000,21,1312000,3000,108
1001000,21,1302007,3000,112
1001000,21,1322005,50,116
1001000,21,1312004,50,120
1001000,21,1302000,50,124
1001001,22,3010001,1000,104
1001001,22,1092003,2000,108
1001001,22,1072063,10000,112
1001001,22,1072062,10000,116
1001001,22,1072017,10000,120
1001001,22,1072049,5000,124
1001001,22,1072048,5000,128
1001001,22,1072008,5000,132
1001001,22,1072005,50,136
1001001,22,1072038,50,140
1001001,22,1072037,50,144
1001001,22,1072001,50,148
1001001,22,1062001,4800,152
1001001,22,1062000,4800,156
1001001,22,1060004,2800,160
1001001,22,1060007,1000,164
1001001,22,1041012,3000,168
1001001,22,1041004,3000,172
1001001,22,1040014,3000,176
1001001,22,1040013,3000,180
1001001,22,1002001,3000,184
1001001,22,1002019,2000,188
1001001,22,1002134,800,192
1001001,22,1002133,800,196
1001001,22,1002132,800,200
1001001,22,1002069,450,204
1001001,22,1002068,450,208
1001001,22,1002067,450,212
1001001,22,1002066,450,216
1001001,22,1002014,1000,220
1001001,22,1002008,500,224
1001100,20,2000000,30,0
1001100,20,2061000,1,0
1001100,20,2060000,1,0
1001100,20,2030001,500,0
1001100,20,2030000,400,0
1001100,20,2020028,3000,0
1001100,20,2010004,180,0
1001100,20,2010003,60,0
1001100,20,2010001,106,0
1001100,20,2010002,50,0
1001100,20,2010000,30,0
1001100,20,2002005,500,0
1001100,20,2002004,500,0
1001100,20,2002002,500,0
1001100,20,2002001,400,0
1001100,20,2002000,500,0
1001100,20,2000006,385,0
1001100,20,2000003,150,0
1001100,20,2000002,280,0
1001100,20,2000001,150,0
1001100,20,2330000,800,1
1001100,20,2070000,500,1
1011000,4,1452002,3000,0
1011000,4,1452003,6000,0
1011000,4,1452001,10000,0
1011000,4,1452000,20000,0
1011000,4,1452005,40000,0
1011000,4,1462001,4000,0
1011000,4,1462002,8000,0
1011000,4,1462003,12000,0
1011000,4,1462000,30000,0
1011000,4,1462004,40000,0
1011000,4,1302007,3000,0
1011000,4,1322007,6000,0
1011000,4,1322008,12000,0
1011000,4,1422004,20000,0
1011000,4,1442004,24000,0
1011001,5,1002008,500,0
1011001,5,1002033,3000,0
1011001,5,1002012,3000,0
1011001,5,1002060,3000,0
1011001,5,1002061,3000,0
1011001,5,1002062,3000,0
1011001,5,1002063,3000,0
1011001,5,1002112,4000,0
1011001,5,1002113,4000,0
1011001,5,1002114,4000,0
1011001,5,1002115,4000,0
1011001,5,1002116,4000,0
1011001,5,1002117,9000,0
1011001,5,1002118,9000,0
1011001,5,1002119,9000,0
1011001,5,1002120,9000,0
1011001,5,1002121,9000,0
1011001,5,1002117,30000,0
1011001,5,1002118,30000,0
1011001,5,1002119,30000,0
1011001,5,1002120,30000,0
1011001,5,1002121,30000,0
1011001,5,1002010,800,0
1011001,5,1002057,800,0
1011001,5,1002156,20000,0
1011001,5,1002157,20000,0
1011001,5,1002158,20000,0
1011001,5,1002159,20000,0
1011001,5,1002160,20000,0
1011001,5,1032001,7000,0
1011001,5,1032003,7000,0
1011001,5,1040008,3200,0
1011001,5,1040071,3200,0
1011001,5,1040007,5500,0
1011001,5,1040011,5500,0
1011001,5,1040003,9000,0
1011001,5,1040022,15000,0
1011001,5,1040023,15000,0
1011001,5,1040024,15000,0
1011001,5,1040025,15000,0
1011001,5,1040067,45000,0
1011001,5,1040068,45000,0
1011001,5,1040069,45000,0
1011001,5,1040070,45000,0
1011001,5,1041007,3200,0
1011001,5,1041061,3200,0
1011001,5,1041062,5500,0
1011001,5,1041063,5500,0
