mob_id,item_id,chance_text,min,max,questid
100100,4000019,36%,1,1,0
100100,2060000,3%,1,1,0
100100,2061000,3%,1,1,0
100100,2000000,2%,1,1,0
100100,2010009,2%,1,1,0
100100,4010000,0.9%,1,1,0
100100,4020000,0.9%,1,1,0
100100,2380000,0.1%,1,1,0
100100,1002067,0.09%,1,1,0
100100,2040002,0.03%,1,1,0
100100,2041001,0.03%,1,1,0
100101,4000000,36%,1,1,0
100101,2060000,3%,1,1,0
100101,2061000,3%,1,1,0
100101,2000000,2%,1,1,0
100101,2010009,2%,1,1,0
100101,4010001,0.9%,1,1,0
100101,4020001,0.9%,1,1,0
100101,2380001,0.1%,1,1,0
100101,1040013,0.08%,1,1,0
100101,1040017,0.08%,1,1,0
100101,1041012,0.08%,1,1,0
100101,1060004,0.08%,1,1,0
100101,1060013,0.08%,1,1,0
100101,2041006,0.03%,1,1,0
100121,4000483,40%,1,1,0
100124,1902031,0.1%,1,1,0
100124,1912024,0.1%,1,1,0
100130,4000493,36%,1,1,0
100130,2010000,2%,1,1,0
100130,2010009,2%,1,1,0
100130,4010005,0.9%,1,1,0
100130,4020005,0.9%,1,1,0
100130,2380015,0.1%,1,1,0
100130,1002008,0.09%,1,1,0
100130,1040010,0.08%,1,1,0
100130,1041004,0.08%,1,1,0
100130,1060007,0.08%,1,1,0
100130,2040003,0.03%,1,1,0
100131,4000494,36%,1,1,0
100131,2000000,2%,1,1,0
100131,2010009,2%,1,1,0
100131,4010006,0.9%,1,1,0
100131,4020006,0.9%,1,1,0
100131,2380016,0.1%,1,1,0
100131,1002002,0.09%,1,1,0
100131,1002019,0.09%,1,1,0
100131,1040013,0.08%,1,1,0
100131,1041012,0.08%,1,1,0
100131,1060004,0.08%,1,1,0
100131,1072005,0.08%,1,1,0
100131,2040400,0.03%,1,1,0
100131,2040618,0.03%,1,1,0
100132,4000495,36%,1,1,0
100132,2000000,2%,1,1,0
100132,2010009,2%,1,1,0
100132,4010000,0.9%,1,1,0
100132,4020007,0.9%,1,1,0
100132,2380017,0.1%,1,1,0
100132,1002001,0.09%,1,1,0
100132,1002003,0.09%,1,1,0
100132,1040014,0.08%,1,1,0
100132,1040015,0.08%,1,1,0
100132,1041014,0.08%,1,1,0
100132,1060008,0.08%,1,1,0
100132,1061014,0.08%,1,1,0
100132,1072004,0.08%,1,1,0
100132,1082003,0.06%,1,1,0
100132,1442000,0.045%,1,1,0
